date,open,high,low,close,sentiment_score
2020-01-02 00:00:00+07:00,1017.1599731445312,1017.52001953125,1007.5,1011.6199951171875,-0.3753
2020-01-03 00:00:00+07:00,1016.719970703125,1021.489990234375,1012.969970703125,1021.489990234375,0.7783
2020-01-06 00:00:00+07:00,1012.9299926757812,1016.1599731445312,1005.8300170898438,1010.22998046875,-0.7845
2020-01-07 00:00:00+07:00,1013.780029296875,1016.530029296875,1008.489990234375,1014.6400146484375,0.765
2020-01-08 00:00:00+07:00,1007.0999755859375,1010.4400024414062,1004.0999755859375,1005.4500122070312,-0.12059999999999998
2020-01-09 00:00:00+07:00,1011.489990234375,1016.8400268554688,1009.8599853515625,1016.8400268554688,0.64225
2020-01-10 00:00:00+07:00,1020.1699829101562,1021.1099853515625,1016.4099731445312,1018.010009765625,0.5923499999999999
2020-01-13 00:00:00+07:00,1021.5900268554688,1025.2900390625,1018.7100219726562,1025.2900390625,0.8442
2020-01-14 00:00:00+07:00,1028.239990234375,1032.3199462890625,1025.4599609375,1032.3199462890625,0.5811999999999999
2020-01-15 00:00:00+07:00,1032.510009765625,1036.6199951171875,1018.5499877929688,1025.0699462890625,-0.7506
2020-01-16 00:00:00+07:00,1023.2000122070312,1028.27001953125,1017.780029296875,1025.81005859375,0.7783
2020-01-17 00:00:00+07:00,1027.6300048828125,1029.6600341796875,1023.3400268554688,1029.6400146484375,0.55315
2020-01-20 00:00:00+07:00,1034.93994140625,1035.4200439453125,1020.6500244140625,1022.010009765625,-0.7506
2020-01-21 00:00:00+07:00,1023.97998046875,1025.1300048828125,1017.9600219726562,1022.6799926757812,0.6124
2020-01-22 00:00:00+07:00,1024.1700439453125,1026.969970703125,1019.9000244140625,1020.8400268554688,-0.4063
2020-01-23 00:00:00+07:00,1023.72998046875,1025.6199951171875,1019.3800048828125,1024.5899658203125,0.0
2020-01-24 00:00:00+07:00,1022.8400268554688,1028.6300048828125,1020.0599975585938,1025.5,0.4939
2020-01-27 00:00:00+07:00,1024.6500244140625,1024.9100341796875,1003.6500244140625,1003.7899780273438,0.0
2020-01-28 00:00:00+07:00,997.5800170898438,1001.6699829101562,989.3900146484375,1000.6699829101562,0.24695
2020-01-29 00:00:00+07:00,1003.6699829101562,1009.1500244140625,998.5599975585938,1000.3200073242188,0.4939
2020-01-30 00:00:00+07:00,1004.8400268554688,1004.8900146484375,986.8099975585938,987.2000122070312,0.4939
2020-01-31 00:00:00+07:00,991.4000244140625,991.7899780273438,961.97998046875,961.97998046875,0.4939
2020-02-03 00:00:00+07:00,956.3900146484375,965.260009765625,950.1699829101562,953.260009765625,0.0
2020-02-04 00:00:00+07:00,970.6300048828125,970.6300048828125,961.280029296875,964.8400268554688,0.0
2020-02-05 00:00:00+07:00,972.6400146484375,976.5599975585938,964.47998046875,976.5599975585938,0.4939
2020-02-06 00:00:00+07:00,983.3300170898438,984.6099853515625,973.2000122070312,975.7100219726562,0.4939
2020-02-07 00:00:00+07:00,976.5700073242188,979.4500122070312,974.5900268554688,977.0,0.4939
2020-02-10 00:00:00+07:00,974.9600219726562,975.8200073242188,962.969970703125,968.3400268554688,0.0
2020-02-11 00:00:00+07:00,971.7000122070312,973.9400024414062,964.9299926757812,967.3800048828125,0.0
2020-02-12 00:00:00+07:00,968.3400268554688,969.5800170898438,958.5399780273438,960.97998046875,0.4939
2020-02-13 00:00:00+07:00,963.530029296875,964.9000244140625,951.8099975585938,954.2100219726562,0.4939
